avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
-1.690544923788e-03,-1.490378966546e-02,1.499936293752e-02,3.361514775820e-08,-6.401362929335e-08,7.230299367323e-08,-1.899464045214e-06,6.419037249098e-06,6.694176787654e-06,4.867800000000e-01
-2.849469637739e-03,-8.628887512440e-03,9.087198518726e-03,3.360133269715e-08,-5.246038940984e-08,6.229881231658e-08,-1.474712541338e-06,6.794305030662e-06,6.952507312420e-06,4.898400000000e-01
-4.207044950040e-03,5.421873758309e-03,6.862648341763e-03,3.560703952231e-08,-4.655395124168e-08,5.860999607367e-08,1.720239700770e-06,8.998400419363e-06,9.161355507527e-06,4.929100000000e-01
5.043146167082e-03,9.080032670935e-04,5.124235864557e-03,2.969576714590e-08,-3.817291345282e-08,4.836331158906e-08,5.635344197086e-07,-5.407809804814e-06,5.437092782659e-06,4.959700000000e-01
-4.912555476007e-03,-2.541923522680e-04,4.919127469053e-03,3.787756479945e-08,-2.893086950124e-08,4.766240788330e-08,-4.519788350504e-07,9.894960905537e-06,9.905278198488e-06,4.990300000000e-01
7.029908001980e-03,5.549304999044e-04,7.051776682229e-03,2.778052902771e-08,-2.466047968687e-08,3.714696557521e-08,4.904593891630e-07,-9.082592833418e-06,9.095825580456e-06,5.020900000000e-01
1.547384372651e-03,-1.002068045887e-02,1.013944945525e-02,3.546380470422e-08,-2.068436174531e-08,4.105513688821e-08,1.984413341180e-07,1.584670612415e-06,1.597047248186e-06,5.051500000000e-01
-3.795207971783e-03,-1.820414223743e-02,1.859554780451e-02,3.563098709470e-08,-1.264420473930e-09,3.565341499040e-08,-6.027214389902e-06,7.660218377869e-06,9.747115414238e-06,5.082100000000e-01
-2.790909211107e-03,-4.820744447410e-03,5.570345703084e-03,2.824827473517e-08,-6.840495450819e-09,2.906471062175e-08,-5.543953811243e-07,2.562252028885e-06,2.621543380938e-06,5.112700000000e-01
-3.296567393054e-03,4.110009232522e-03,5.268731580595e-03,3.490463135359e-08,-1.249707601183e-08,3.707438736885e-08,4.229248431862e-06,6.716084389706e-06,7.936770869066e-06,5.143400000000e-01
