avg(acceleration_a (0)),avg(acceleration_a (1)),avg(acceleration_a (Magnitude)),avg(displacement_d (0)),avg(displacement_d (1)),avg(displacement_d (Magnitude)),avg(velocity_v (0)),avg(velocity_v (1)),avg(velocity_v (Magnitude)),Time
-7.696878831964e-18,-2.508008651109e-18,8.095186912480e-18,-3.080255391416e-23,-1.116427635538e-23,3.276336970115e-23,-2.558042266520e-20,-9.002023090566e-21,2.711815708070e-20,1.448300000000e-01
1.003228758214e-16,3.528906062689e-17,1.063484706661e-16,8.521808815802e-23,3.032237676995e-23,9.045202641338e-23,1.670494125433e-19,5.920278386053e-20,1.772300083166e-19,1.483600000000e-01
-2.974873085798e-16,-1.039396451016e-16,3.151224342854e-16,6.231397598592e-22,2.094076251816e-22,6.573847532470e-22,-1.941219979964e-19,-6.833964030592e-20,2.058000401925e-19,1.518900000000e-01
1.394551685560e-18,-1.371027361891e-17,1.378101509719e-17,-3.113740601853e-21,-1.094034250267e-21,3.300347175129e-21,-1.494122842345e-18,-5.098094400996e-19,1.578704764430e-18,1.554200000000e-01
3.956584414008e-16,1.201857276870e-16,4.135096267215e-16,-5.110539893087e-21,-1.810159501770e-21,5.421650617725e-21,4.050377336693e-19,9.324594144005e-20,4.156324954705e-19,1.589500000000e-01
2.267200345013e-15,8.771432933894e-16,2.430962311835e-15,-3.824382061823e-21,-1.720793089787e-21,4.193688950394e-21,1.942797686252e-18,6.341797965679e-19,2.043684629310e-18,1.624900000000e-01
-5.844771112008e-14,-2.118081830256e-14,6.216720999966e-14,-1.598790669222e-20,-6.036715741791e-21,1.708961957875e-20,-5.730590789035e-17,-2.068404519528e-17,6.092451727160e-17,1.660200000000e-01
1.034437973123e-12,3.734805044231e-13,1.099795257047e-12,3.881851474707e-19,1.392595734127e-19,4.124087020226e-19,1.160003082932e-15,4.186256000477e-16,1.233229315832e-15,1.695500000000e-01
-1.563950589213e-11,-5.617169319113e-12,1.661766336491e-11,-7.382257130871e-18,-2.657716887554e-18,7.846093257200e-18,-1.883274450289e-14,-6.772784730994e-15,2.001356736126e-14,1.730800000000e-01
2.103563763644e-10,7.514708044614e-11,2.233761150542e-10,9.241043080288e-17,3.338228313004e-17,9.825509934933e-17,2.537104947619e-13,9.093993214908e-14,2.695163935860e-13,1.766200000000e-01
-2.478764990234e-09,-8.817663036224e-10,2.630929054728e-09,-5.900164628835e-16,-2.172184582134e-16,6.287314888425e-16,-2.748622758405e-12,-9.831845452432e-13,2.919174355538e-12,1.801500000000e-01
2.359530587294e-08,8.379460908483e-09,2.503904599529e-08,-4.588992647990e-15,-1.518620076538e-15,4.833741869419e-15,2.097656057348e-11,7.523599376437e-12,2.228498689859e-11,1.836800000000e-01
-1.502543571317e-07,-5.360582797757e-08,1.595304254060e-07,1.760255569738e-13,6.102346370849e-14,1.863031396164e-13,-5.881196822739e-11,-2.202128439713e-11,6.279955870290e-11,1.872100000000e-01
2.490925151084e-07,9.572573673429e-08,2.668529515601e-07,-2.181993790863e-12,-7.617582693340e-13,2.311140965900e-12,-8.876505049575e-10,-3.004888213147e-10,9.371323015916e-10,1.907500000000e-01
4.778683680855e-06,1.618731980739e-06,5.045404933911e-06,1.094442400986e-11,3.867781031602e-12,1.160776236042e-11,1.117334197934e-08,3.871867466593e-09,1.182518197180e-08,1.942800000000e-01
-2.760334853524e-05,-9.615413821748e-06,2.923013912593e-05,3.016618407615e-11,9.875938168364e-12,3.174165743028e-11,-2.376433482324e-08,-8.588419855031e-09,2.526864787038e-08,1.978100000000e-01
-6.240810827479e-05,-2.030292711995e-05,6.562759197224e-05,-3.731485120462e-10,-1.286101560422e-10,3.946902383889e-10,-2.209996932511e-07,-7.457462904332e-08,2.332428770917e-07,2.013400000000e-01
-1.325274190011e-06,1.729314044257e-06,2.178733288489e-06,-1.408321095348e-09,-4.680308708943e-10,1.484055660585e-09,-3.236343004623e-07,-1.028727120065e-07,3.395908645876e-07,2.048800000000e-01
2.298412875627e-05,9.073080587310e-06,2.471013893180e-05,-2.439752511648e-09,-7.815972648303e-10,2.561891215974e-09,-2.521473701733e-07,-7.253230760335e-08,2.623723154824e-07,2.084100000000e-01
1.293797511872e-05,4.880562295676e-06,1.382790976592e-05,-3.220063852105e-09,-9.950648549255e-10,3.370306407011e-09,-1.953031076607e-07,-5.065123783076e-08,2.017643470877e-07,2.119400000000e-01
1.112148737777e-05,3.862678562053e-06,1.177317999385e-05,-3.834909035037e-09,-1.146649645826e-09,4.002665701415e-09,-1.537134871177e-07,-3.570630505791e-08,1.578061353141e-07,2.154700000000e-01
8.720443149137e-06,2.765514151233e-06,9.148453270253e-06,-4.315422032884e-09,-1.251894387353e-09,4.493340280792e-09,-1.197605965219e-07,-2.451806778755e-08,1.222445750425e-07,2.190000000000e-01
7.069847808642e-06,2.017828223740e-06,7.352168304513e-06,-4.688946444619e-09,-1.323472002090e-09,4.872144999979e-09,-9.266038946836e-08,-1.643082961454e-08,9.410589746796e-08,2.225400000000e-01
5.792469823798e-06,1.452900443858e-06,5.971903076857e-06,-4.975916105728e-09,-1.370595394399e-09,5.161227840969e-09,-7.054858537735e-08,-1.057121077290e-08,7.133619975826e-08,2.260700000000e-01
4.824017000646e-06,1.029598644376e-06,4.932667978997e-06,-5.191837829915e-09,-1.400123724363e-09,5.377315919272e-09,-5.225708516064e-08,-6.388289908551e-09,5.264611284266e-08,2.296000000000e-01
4.019081812075e-06,6.848792345249e-07,4.077018295033e-06,-5.348561800214e-09,-1.417231839241e-09,5.533141911868e-09,-3.695042061478e-08,-3.498914251117e-09,3.711571075092e-08,2.331300000000e-01
3.666412808037e-06,5.157924117472e-07,3.702515994693e-06,-5.455981011311e-09,-1.426147191296e-09,5.639292917292e-09,-2.400409423570e-08,-1.621296813622e-09,2.405878516123e-08,2.366700000000e-01
3.440709535765e-06,3.766692015913e-07,3.461265924042e-06,-5.514909513277e-09,-1.427741858695e-09,5.696724827012e-09,-9.640681971608e-09,5.814541808100e-10,9.658200548863e-09,2.402000000000e-01
-1.150820138204e-05,-4.777794850810e-06,1.246057874603e-05,-5.563637701417e-09,-1.436061938762e-09,5.745984542668e-09,-2.813473221726e-08,-8.786192183141e-09,2.947474054196e-08,2.437300000000e-01
5.754954798936e-05,1.939406145438e-05,6.072956523371e-05,-5.656050319491e-09,-1.468395801425e-09,5.843551270097e-09,2.796865020332e-08,8.680590491206e-09,2.928477497731e-08,2.472600000000e-01
1.911967328185e-04,6.230426983686e-05,2.010920502665e-04,-4.737663532911e-09,-1.163232255798e-09,4.878377294963e-09,5.656943428033e-07,1.872416603829e-07,5.958771088593e-07,2.508000000000e-01
4.114766693283e-05,6.693800595460e-06,4.168857709765e-05,-1.798128563677e-09,-2.139236506444e-10,1.810809117444e-09,9.881483637127e-07,3.101400837961e-07,1.035675653998e-06,2.543300000000e-01
-6.952934985976e-05,-2.895655799798e-05,7.531807713299e-05,1.485503223378e-09,7.677470431659e-10,1.672170849213e-09,8.226015361558e-07,2.308400588280e-07,8.543772118014e-07,2.578600000000e-01
-4.005899083051e-05,-1.629779133778e-05,4.324743632689e-05,4.033796658812e-09,1.437214442109e-09,4.282184119962e-09,6.397248765053e-07,1.562358714731e-07,6.585268143020e-07,2.613900000000e-01
-3.303247387311e-05,-1.266110105218e-05,3.537580825976e-05,6.071223382884e-09,1.900578543189e-09,6.361757002881e-09,5.166543397990e-07,1.077634003643e-07,5.277733010406e-07,2.649200000000e-01
-2.598576139709e-05,-9.396945886948e-06,2.763263265396e-05,7.709139303619e-09,2.211366082868e-09,8.020035458467e-09,4.150401215240e-07,7.015274279563e-08,4.209272024904e-07,2.684600000000e-01
-2.082342414414e-05,-7.085903892291e-06,2.199602298274e-05,9.028652351864e-09,2.407525930009e-09,9.344128872960e-09,3.349463041611e-07,4.220250930336e-08,3.375945474421e-07,2.719900000000e-01
-1.690322880374e-05,-5.381717124503e-06,1.773927910598e-05,1.009342357727e-08,2.517443188305e-09,1.040263042295e-08,2.701616766954e-07,2.100044102004e-08,2.709766596552e-07,2.755200000000e-01
-1.393081712971e-05,-4.122789418526e-06,1.452807827935e-05,1.095103175148e-08,2.561780548292e-09,1.124668022127e-08,2.171066258707e-07,4.817544417898e-09,2.171600693755e-07,2.790500000000e-01
-1.157987330318e-05,-3.156969366290e-06,1.200249646105e-05,1.163778430856e-08,2.555882713206e-09,1.191513995118e-08,1.730842406988e-07,-7.603713848914e-09,1.732511784739e-07,2.825900000000e-01
-1.001992013824e-05,-2.523779429865e-06,1.033287289128e-05,1.218243855602e-08,2.511530775679e-09,1.243863320499e-08,1.361220182963e-07,-1.717231628054e-08,1.372009194995e-07,2.861200000000e-01
-8.839772980094e-06,-2.037571734251e-06,9.071564634164e-06,1.260055479451e-08,2.435240845881e-09,1.283372039227e-08,1.014405264690e-07,-2.568888869475e-08,1.046427226934e-07,2.896500000000e-01
6.871380837275e-06,3.374370936219e-06,7.655210893638e-06,1.294208915985e-08,2.345276111657e-09,1.315287009977e-08,1.025580434948e-07,-2.160910795590e-08,1.048098556059e-07,2.931800000000e-01
